kommunenummer,kommune,fylkesnummer,fylke,aar_start,aar_slutt,folkemengde_start,folkemengde_slutt,vekst,vekst_pst,fodselsoverskudd_sum,nettoinnflytting_sum,folketilvekst_sum,restledd_sum,grenseavvik_sum,grenseavvik_maks_pst,grenseavvik_maks_aar,aar_uten_folketall,aar_med_stromtall,sammenlignbar,rangering
4602,Kinn,46,Vestland,2011,2026,17618,17356,-262,-0.014871154501078442,141.0,130.0,271.0,0.0,-533.0,0.02990685669397374,2019,0.0,15,false,
4028,Kviteseid,40,Telemark,2011,2026,2501,2463,-38,-0.015193922431027589,-159.0,126.0,-38.0,-5.0,0.0,0.0,2011,0.0,15,true,221
4016,Drangedal,40,Telemark,2011,2026,4124,4056,-68,-0.016488845780795344,-243.0,178.0,-68.0,-3.0,0.0,0.0,2011,0.0,15,true,222
5612,Guovdageaidnu - Kautokeino,56,Finnmark - Finnmárku - Finmarkku,2011,2026,2935,2886,-49,-0.016695059625212946,100.0,-149.0,-49.0,0.0,0.0,0.0,2011,0.0,15,true,223
5034,Meråker,50,Trøndelag - Trööndelage,2011,2026,2503,2460,-43,-0.017179384738314023,-158.0,112.0,-43.0,3.0,0.0,0.0,2011,0.0,15,true,224
4010,Siljan,40,Telemark,2011,2026,2419,2377,-42,-0.017362546506821,48.0,-89.0,-42.0,-1.0,0.0,0.0,2011,0.0,15,true,225
5512,Dielddanuorri - Tjeldsund,55,Troms - Romsa - Tromssa,2011,2026,4221,4144,-77,-0.01824212271973466,-281.0,210.0,-77.0,-6.0,0.0,0.0,2011,0.0,15,true,226
5622,Porsanger - Porsángu - Porsanki,56,Finnmark - Finnmárku - Finmarkku,2011,2026,3980,3906,-74,-0.0185929648241206,-178.0,95.0,-74.0,9.0,0.0,0.0,2011,0.0,15,true,227
1135,Sauda,11,Rogaland,2011,2026,4703,4603,-100,-0.0212630236019562,-221.0,124.0,-100.0,-3.0,0.0,0.0,2011,0.0,15,true,228
5636,Unjárga - Nesseby,56,Finnmark - Finnmárku - Finmarkku,2011,2026,893,874,-19,-0.02127659574468085,-74.0,51.0,-19.0,4.0,0.0,0.0,2011,0.0,15,true,229
